,text,article_title,journal,bacteria,nutrients,diseases,parse_result
10,"B. fragilis YCH46 (BF1566, BF1634 and BF2685) and B. intestinalis DSM 17393 (BACINT_00423, BACINT_00829 and BACINT_03190) each contain three MACPFs, with only one protein in each species having the same domain architecture as Bth-MACPF.","Structure of a membrane-attack complex/perforin (MACPF) family protein from the human gut symbiont Bacteroides thetaiotaomicron
            ",acta crystallographica section f: structural biology and crystallization communications,"[('B. fragilis', 817), ('B. intestinalis', 329854)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bee0d68>
11,"BT_3441 is a homolog of a hypothetical protein BVU_0276 from B. vulgatus, the structure of which has also been determined by the JCSG (PDB code).","Structure of a membrane-attack complex/perforin (MACPF) family protein from the human gut symbiont Bacteroides thetaiotaomicron
            ",acta crystallographica section f: structural biology and crystallization communications,"[('B. vulgatus', 821)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bee7eb8>
12,"We have determined the structure of a SusD homolog, the BT_3984 protein from B. thetaiotaomicron VPI-5482, which is a prominent member of the human gut microbiome, using the semiautomated high-throughput pipeline of the Joint Center for Structural Genomics (JCSG; Lesley et al., 2002) as part of the NIGMS Protein Structure Initiative (PSI).","Structure of BT_3984, a member of the SusD/RagB family of nutrient-binding molecules",acta crystallographica section f: structural biology and crystallization communications,"[('B. thetaiotaomicron', 818)]","[('protein', 'Protein'), ('Protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be79550>
13,"BT_3984 is a member of the Pfam SusD/RagB family (PF07980), which includes starch-utilization protein D (SusD) and the immuno­dominant antigen RagB from Porphyromonas gingivalis (note that previous releases of Pfam mistakenly included a reference to a human Ras-related GTP-binding RagB protein that was corrected in the Pfam v.24 release).","Structure of BT_3984, a member of the SusD/RagB family of nutrient-binding molecules",acta crystallographica section f: structural biology and crystallization communications,"[('Porphyromonas gingivalis', 837)]","[('protein', 'Protein'), ('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be79240>
14,The availability of multiple structures of members of this family illustrates the complex evolutionary history of this protein family and specifically the evolution of diverse specificities of Bacteroides polysaccharide-ulitization loci.,"Structure of BT_3984, a member of the SusD/RagB family of nutrient-binding molecules",acta crystallographica section f: structural biology and crystallization communications,"[('Bacteroides', 816)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be7ed30>
15,"Here, we report the 2.2 Å crystal structure of a putative fimbrial assembly protein BT1062 from B. thetaiotaomicron, which was determined using the high-throughput pipeline of the Joint Center for Structural Genomics (JCSG; Lesley et al., 2002) as part of the National Institute of General Medical Sciences Protein Structure Initiative (PSI;).",A conserved fold for fimbrial components revealed by the crystal structure of a putative fimbrial assembly protein (BT1062) from Bacteroides thetaiotaomicron at 2.2 Å resolution,acta crystallographica section f: structural biology and crystallization communications,"[('B. thetaiotaomicron', 818)]","[('protein', 'Protein'), ('Protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be88780>
16,BT1062 is a member of a functionally uncharacterized protein family [Pfam PF08842 or DUF1812 (domain of unknown function family 1812)] consisting of ∼80 Bacteroidetes proteins of around 300–400 residues.,A conserved fold for fimbrial components revealed by the crystal structure of a putative fimbrial assembly protein (BT1062) from Bacteroides thetaiotaomicron at 2.2 Å resolution,acta crystallographica section f: structural biology and crystallization communications,"[('Bacteroidetes', 976)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be92940>
17,"Our structural studies of the BT1062 protein in this operon revealed surprising structural similarities to the minor pilin GBS52 of S. agalactiae and the major pilin Spy0128 of S. pyogenes, both of which are Gram-positive bacteria.",A conserved fold for fimbrial components revealed by the crystal structure of a putative fimbrial assembly protein (BT1062) from Bacteroides thetaiotaomicron at 2.2 Å resolution,acta crystallographica section f: structural biology and crystallization communications,"[('S. agalactiae', 1311), ('Gram-positive bacteria', 1239)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be95208>
18,"Inulin is used as a prebiotic to improve the quality of skim milk fermented by pure cultures of Lactobacillus acidophilus, Lactobacillus rhamnosus, Lactobacillus bulgaricus and Bifidobacterium lactis, Streptococcus thermophilus, or a cocktail containing all them.",The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('Lactobacillus acidophilus', 1579), ('Lactobacillus rhamnosus', 47715), ('Lactobacillus bulgaricus', 1585), ('Bifidobacterium lactis', 302911), ('Streptococcus thermophilus', 1308)]","[('Inulin', 'Inulin')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be99d68>
19,"L. acidophilus FTDC 8033, L. acidophilus ATCC 4356, Lactobacillus casei ATCC 393, Bifidobacterium FTDC 8943, and Bifidobacterium longum FTDC 8643, leading to enhanced hydrolysis and utilization of fructose and glucose, promoting their growth (Yeo and Liong).",The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('L. acidophilus', 1579), ('L. acidophilus', 1579), ('Bifidobacterium', 1678), ('Bifidobacterium longum', 216816)]","[('fructose', 'Fructose'), ('glucose', 'Glucose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be9d048>
20,Cellobiose 2-epimerase from Ruminococcus albus effectively converts lactose to epilactose.,The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('Ruminococcus', 1263)]","[('lactose', 'Lactose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be958d0>
21,Synbiotic treatment of P. acidilactici LAB 5 with sorbitol for 1 month lowers the plasma cholesterol level of Swiss albino mice (Mandal et al.).,The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('P. acidilactici', 1254)]","[('cholesterol', 'Cholesterol')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bea56a0>
22,"() studied that alginate oligosaccharide-rich diet stimulated the growth of Bifidobacterium bifidum ATCC 29521 and B. longum SMU 27001, decreasing the abundance of enterobacteriaceae and enterococci.",The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('Bifidobacterium bifidum', 1681), ('B. longum', 216816)]","[('alginate', 'Alginate')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383bea9588>
23,Ice creams supplemented with L. casei and 2.5% inulin showed good nutritional and sensory properties (Criscio et al.).,The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('L. casei', 1582)]","[('inulin', 'Inulin')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be37048>
24,() developed potentially synbiotic fresh-cut apple wedges by applying probiotic bacteria ( L. rhamnosus GG) and prebiotics oligofructose and inulin.,The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('L. rhamnosus', 47715)]","[('oligofructose', 'Oligofructose'), ('inulin', 'Inulin')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be37f98>
25,"Different dehydrated prebiotic fibers viz oat bran, β-glucan and green banana flour provided substratum for adherence and trehalose acted as a cell protectant prolonging the viability of L. casei .",The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('L. casei', 1582)]","[('trehalose', 'Trehalose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be43668>
26,Prebiotic oligosaccharides may also be produced using Leuconostoc fermentation and restricting the polymer size by addition of maltose or galctose.,The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('Leuconostoc', 1243)]","[('maltose', 'Maltose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be480b8>
27,"A recombinant -glucosidase from Thermoanaerobacter ethanolicus JW200, cloned and expressed in E. coli showed strong transglycosylation activity in presence of maltose.",The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('E. coli', 562)]","[('maltose', 'Maltose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be4a198>
28,"() investigated that in obese mice, prebiotic feeding decreased firmicutes abundance, with simultaneous improvement in glucose tolerance, reduced fat accumulation, oxidative stress, and inflammation.",The current trends and future perspectives of prebiotics research: a review,3 biotech,"[('firmicutes', 1239)]","[('glucose', 'Glucose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be4a358>
29,"Uhgb_MP was produced in Escherichia coli BL21-AI cells (Invitrogen) after its encoding gene had been cloned into the pET-28a vector, yielding an N-terminally hexahistidine-tagged protein (detailed procedures are provided as Supporting Information).",Structural bases for N-glycan processing by mannoside phosphorylase,acta crystallographica section d: biological crystallography,"[('Escherichia coli', 562)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be542b0>
30,"L. lactis is a model LAB, being one of the most amenable expression cell factories for heterologous protein secretion.","Modified Lactic Acid Bacteria Detect and Inhibit Multiresistant
Enterococci",acs synthetic biology,"[('L. lactis', 1358)]","[('protein', 'Protein')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be57be0>
31,"L. lactis NZ9000 was cultured at 30 °C in M17 broth (Oxoid Ltd., Basingstoke, U.K.) supplemented with 0.5% (w/v) glucose (GM17).","Modified Lactic Acid Bacteria Detect and Inhibit Multiresistant
Enterococci",acs synthetic biology,"[('L. lactis', 1358)]","[('glucose', 'Glucose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be57860>
32,"Furthermore, the ratios of Bacteroidetes to Firmicutes as well as the ratios of Bacteroides-Prevotella group to C. coccoides E. rectale group correlated positively and significantly with plasma glucose concentration but not with BMIs.",Gut microbiota and diabetes: from pathogenesis to therapeutic perspective,acta diabetologica,"[('Bacteroidetes', 976), ('Firmicutes', 1239)]","[('glucose', 'Glucose')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be5b128>
33,"A precise example is the discovery of a Bacteroidetes D8, a cholesterol-reducing bacterium of human intestinal origin, which was isolated from a senior male volunteer, with a high capacity to reduce luminal cholesterol to coprostanol.",Gut microbiota and diabetes: from pathogenesis to therapeutic perspective,acta diabetologica,"[('Bacteroidetes', 976)]","[('cholesterol', 'Cholesterol')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be5e9e8>
34,"Moreover, in this study, principal component analyses suggested that the abundance of Fusobacterium, one of the first colonizers in periodontal plaque, may directly impact the levels of total cholesterol and LDL.",Gut microbiota and diabetes: from pathogenesis to therapeutic perspective,acta diabetologica,"[('Fusobacterium', 848)]","[('cholesterol', 'Cholesterol')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be605c0>
35,"In this study, patients have been given a combination of Lactobacillus acidophilus CHO-220 and inulin or a placebo, for 12 weeks.",Gut microbiota and diabetes: from pathogenesis to therapeutic perspective,acta diabetologica,"[('Lactobacillus acidophilus', 1579)]","[('inulin', 'Inulin')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be5e6d8>
36,"Such a potential blueprint for activity is lent support through the observation that genes encoding GH76 and GH92 enzymes often appear clustered together in various polysaccharide-utilization loci (PULs) throughout the Bt genome (Bjursell et al., 2006; Martens et al., 2008, 2009), an arrangement not dissimilar to that recently reported for the breakdown of xyloglucan by the closely related bacterium B. ovatus ( Bo; Larsbrink et al., 2014).","Structure of the GH76 α-mannanase homolog, BT2949, from the gut symbiont Bacteroides thetaiotaomicron
",acta crystallographica section d: biological crystallography,"[('B. ovatus', 28116)]","[('xyloglucan', 'Xyloglucan')]",[],<ohmygut.core.sentence_processing.ParserOutput object at 0x7f383be69550>
