group,name
Cereal Grains and Pasta,buckwheat
Cereal Grains and Pasta,buckwheat groats
Cereal Grains and Pasta,buckwheat flour
Cereal Grains and Pasta,bulgur
Cereal Grains and Pasta,corn grain
Cereal Grains and Pasta,corn bran
Cereal Grains and Pasta,corn flour
Cereal Grains and Pasta,cornmeal
Cereal Grains and Pasta,cornstarch
Cereal Grains and Pasta,couscous
Cereal Grains and Pasta,hominy
Cereal Grains and Pasta,millet
Cereal Grains and Pasta,oat bran
Cereal Grains and Pasta,quinoa
Cereal Grains and Pasta,rice
Cereal Grains and Pasta,oats
Cereal Grains and Pasta,rice bran
Cereal Grains and Pasta,rice flour
Cereal Grains and Pasta,rye grain
Cereal Grains and Pasta,rye flour
Cereal Grains and Pasta,semolina
Cereal Grains and Pasta,sorghum grain
Cereal Grains and Pasta,tapioca
Cereal Grains and Pasta,triticale
Cereal Grains and Pasta,triticale flour
Cereal Grains and Pasta,wheat
Cereal Grains and Pasta,wheat bran
Cereal Grains and Pasta,wheat germ
Cereal Grains and Pasta,wheat flour
Cereal Grains and Pasta,wild rice
Cereal Grains and Pasta,pasta
Cereal Grains and Pasta,macaroni
Cereal Grains and Pasta,noodles
Cereal Grains and Pasta,spaghetti
Cereal Grains and Pasta,wheat flours
Cereal Grains and Pasta,barley flour or meal
Cereal Grains and Pasta,barley malt flour
Cereal Grains and Pasta,oat flour
Cereal Grains and Pasta,rice noodles
Cereal Grains and Pasta,spelt
Cereal Grains and Pasta,teff
Cereal Grains and Pasta,millet flour
Cereal Grains and Pasta,sorghum flour
Cereal Grains and Pasta,vital wheat gluten
Cereal Grains and Pasta,amaranthus spp.
Cereal Grains and Pasta,hordeum vulgare l.
Cereal Grains and Pasta,fagopyrum esculentum moench
Cereal Grains and Pasta,zea mays mays l.
Cereal Grains and Pasta,panicum miliaceum l.
Cereal Grains and Pasta,chenopodium quinoa willd.
Cereal Grains and Pasta,oryza sativa l.
Cereal Grains and Pasta,avena sativa l.
Cereal Grains and Pasta,secale cereale l.
Cereal Grains and Pasta,sorghum spp.
Cereal Grains and Pasta,x triticosecale spp.
Cereal Grains and Pasta,triticum aestivum l.
Cereal Grains and Pasta,triticum durum desf.
Cereal Grains and Pasta,zizania spp.
Cereal Grains and Pasta,triticum turgidum subsp. turanicum (jakubz.)
Cereal Grains and Pasta,triticum aestivum l. subsp. spelta
Cereal Grains and Pasta,eragrostis tef (zuccagni) trotter
Dairy and Egg Products,butter
Dairy and Egg Products,butter oil
Dairy and Egg Products,cheese
Dairy and Egg Products,cheese food
Dairy and Egg Products,cheese spread
Dairy and Egg Products,cream
Dairy and Egg Products,eggnog
Dairy and Egg Products,sour dressing
Dairy and Egg Products,milk
Dairy and Egg Products,cream substitute
Dairy and Egg Products,dessert topping
Dairy and Egg Products,sour cream
Dairy and Egg Products,milk substitutes
Dairy and Egg Products,milk shakes
Dairy and Egg Products,whey
Dairy and Egg Products,yogurt
Dairy and Egg Products,egg
Dairy and Egg Products,egg substitute
Dairy and Egg Products,cheese substitute
Dairy and Egg Products,cheese sauce
Dairy and Egg Products,usda commodity
Dairy and Egg Products,parmesan cheese topping
Dairy and Egg Products,kraft cheez whiz pasteurized process cheese sauce
Dairy and Egg Products,kraft cheez whiz light pasteurized process cheese product
Dairy and Egg Products,kraft free singles american nonfat pasteurized process cheese product
Dairy and Egg Products,kraft velveeta pasteurized process cheese spread
Dairy and Egg Products,kraft velveeta light reduced fat pasteurized process cheese product
Dairy and Egg Products,kraft breakstone's reduced fat sour cream
Dairy and Egg Products,kraft breakstone's free fat free sour cream
Dairy and Egg Products,reddi wip fat free whipped topping
Dairy and Egg Products,egg mix
Dairy and Egg Products,cheese product
Dairy and Egg Products,protein supplement
Dairy and Egg Products,dulce de leche
Dairy and Egg Products,ice cream
Dairy and Egg Products,ice cream sandwich
Dairy and Egg Products,ice cream cookie sandwich
Dairy and Egg Products,ice cream cone
Dairy and Egg Products,fat free ice cream
Dairy and Egg Products,milk dessert bar
Dairy and Egg Products,nutritional supplement for people with diabetes
Dairy and Egg Products,ice cream bar
Dairy and Egg Products,kefir
Dairy and Egg Products,ice cream sundae cone
Dairy and Egg Products,light ice cream
Dairy and Egg Products,imitation cheese
Dairy and Egg Products,whipped topping
Dairy and Egg Products,beverage
Dairy and Egg Products,whipped cream substitute
Dairy and Egg Products,eggs
Fast Foods,fast foods
Fast Foods,side dishes
Fast Foods,burger king
Fast Foods,fast food
Fast Foods,chick-fil-a
Fast Foods,school lunch
Fast Foods,subway
Fast Foods,pizza
Fast Foods,mcdonald's
Fast Foods,wendy's
Fast Foods,taco bell
Fast Foods,"pizza hut 12"" cheese pizza"
Fast Foods,"pizza hut 12"" pepperoni pizza"
Fast Foods,"pizza hut 12"" super supreme pizza"
Fast Foods,"domino's 14"" cheese pizza"
Fast Foods,"domino's 14"" pepperoni pizza"
Fast Foods,"domino's 14"" extravaganzza feast pizza"
Fast Foods,"papa john's 14"" cheese pizza"
Fast Foods,"papa john's 14"" pepperoni pizza"
Fast Foods,"papa john's 14"" the works pizza"
Fast Foods,"little caesars 14"" original round cheese pizza"
Fast Foods,"little caesars 14"" original round pepperoni pizza"
Fast Foods,"little caesars 14"" original round meat and vegetable pizza"
Fast Foods,"little caesars 14"" cheese pizza"
Fast Foods,"little caesars 14"" pepperoni pizza"
Fast Foods,"pizza hut 14"" cheese pizza"
Fast Foods,"pizza hut 14"" pepperoni pizza"
Fast Foods,"pizza hut 14"" super supreme pizza"
Fast Foods,mcdonald's bacon ranch salad with crispy chicken
Fast Foods,light ice cream
Fast Foods,popeyes
Fast Foods,kfc
Fast Foods,yogurt parfait
Fast Foods,digiorno pizza
Fast Foods,"domino's 14"" sausage pizza"
Fast Foods,"pizza hut 14"" sausage pizza"
Fast Foods,kashi pizza
Fast Foods,wend'ys
Fast Foods,morningstar farms pizza
Fast Foods,pizza hut
Fast Foods,arby's
Fast Foods,fast foods  biscuit  w/ egg
Fast Foods,breakfast items
Fast Foods,ft fds
Fast Foods,grilled chick
Fast Foods,crispy chick
Fats and Oils,fat
Fats and Oils,lard
Fats and Oils,salad dressing
Fats and Oils,sandwich spread
Fats and Oils,shortening
Fats and Oils,oil
Fats and Oils,margarine
Fats and Oils,margarine-like
Fats and Oils,vegetable oil
Fats and Oils,shortening bread
Fats and Oils,shortening cake mix
Fats and Oils,shortening industrial
Fats and Oils,shortening frying (heavy duty)
Fats and Oils,shortening confectionery
Fats and Oils,shortening household soybean (hydrogenated) and palm
Fats and Oils,fish oil
Fats and Oils,butter
Fats and Oils,meat drippings (lard
Fats and Oils,animal fat
Fats and Oils,margarine-like spread with yogurt
Fats and Oils,margarine spread
Fats and Oils,margarine-like shortening
Fats and Oils,usda commodity food
Fats and Oils,margarine-like spread
Fats and Oils,margarine-like vegetable-oil spread
Fats and Oils,dressing
Fats and Oils,mayonnaise
Fats and Oils,creamy dressing
Fats and Oils,vegetable oil-butter spread
Fats and Oils,butter replacement
Fats and Oils,mayonnaise dressing
Fats and Oils,veg oil sprd
Fats and Oils,veg-oil sprd
Finfish and Shellfish Products,fish
Finfish and Shellfish Products,crustaceans
Finfish and Shellfish Products,mollusks
Finfish and Shellfish Products,usda commodity
Finfish and Shellfish Products,salmon
Finfish and Shellfish Products,jellyfish
Finfish and Shellfish Products,frog legs
Finfish and Shellfish Products,turtle
Finfish and Shellfish Products,anchovy
Finfish and Shellfish Products,bass
Finfish and Shellfish Products,bluefish
Finfish and Shellfish Products,burbot
Finfish and Shellfish Products,butterfish
Finfish and Shellfish Products,carp
Finfish and Shellfish Products,catfish
Finfish and Shellfish Products,caviar
Finfish and Shellfish Products,cisco
Finfish and Shellfish Products,cod
Finfish and Shellfish Products,croaker
Finfish and Shellfish Products,cusk
Finfish and Shellfish Products,drum
Finfish and Shellfish Products,eel
Finfish and Shellfish Products,flatfish (flounder&sole sp)
Finfish and Shellfish Products,gefiltefish
Finfish and Shellfish Products,grouper
Finfish and Shellfish Products,haddock
Finfish and Shellfish Products,halibut
Finfish and Shellfish Products,herring
Finfish and Shellfish Products,ling
Finfish and Shellfish Products,lingcod
Finfish and Shellfish Products,mackerel
Finfish and Shellfish Products,milkfish
Finfish and Shellfish Products,monkfish
Finfish and Shellfish Products,mullet
Finfish and Shellfish Products,ocean perch
Finfish and Shellfish Products,pout
Finfish and Shellfish Products,perch
Finfish and Shellfish Products,pike
Finfish and Shellfish Products,pollock
Finfish and Shellfish Products,pompano
Finfish and Shellfish Products,rockfish
Finfish and Shellfish Products,roe
Finfish and Shellfish Products,roughy
Finfish and Shellfish Products,sablefish
Finfish and Shellfish Products,sardine
Finfish and Shellfish Products,scup
Finfish and Shellfish Products,sea bass
Finfish and Shellfish Products,seatrout
Finfish and Shellfish Products,shad
Finfish and Shellfish Products,shark
Finfish and Shellfish Products,sheepshead
Finfish and Shellfish Products,smelt
Finfish and Shellfish Products,snapper
Finfish and Shellfish Products,spot
Finfish and Shellfish Products,sturgeon
Finfish and Shellfish Products,sucker
Finfish and Shellfish Products,sunfish
Finfish and Shellfish Products,surimi
Finfish and Shellfish Products,swordfish
Finfish and Shellfish Products,tilefish
Finfish and Shellfish Products,trout
Finfish and Shellfish Products,tuna
Finfish and Shellfish Products,tuna salad
Finfish and Shellfish Products,turbot
Finfish and Shellfish Products,whitefish
Finfish and Shellfish Products,whiting
Finfish and Shellfish Products,wolffish
Finfish and Shellfish Products,yellowtail
Finfish and Shellfish Products,crab
Finfish and Shellfish Products,crayfish
Finfish and Shellfish Products,lobster
Finfish and Shellfish Products,shrimp
Finfish and Shellfish Products,spiny lobster
Finfish and Shellfish Products,abalone
Finfish and Shellfish Products,clam
Finfish and Shellfish Products,cuttlefish
Finfish and Shellfish Products,mussel
Finfish and Shellfish Products,octopus
Finfish and Shellfish Products,oyster
Finfish and Shellfish Products,scallop
Finfish and Shellfish Products,squid
Finfish and Shellfish Products,whelk
Finfish and Shellfish Products,conch
Finfish and Shellfish Products,snail
Finfish and Shellfish Products,engraulis encrasicholus (l.)
Finfish and Shellfish Products,percichthyidae and centrarchidae
Finfish and Shellfish Products,morone saxatilis (walbaum)
Finfish and Shellfish Products,pomatomus saltatrix (l.)
Finfish and Shellfish Products,lota lota (l.)
Finfish and Shellfish Products,peprilus triacanthus (peck)
Finfish and Shellfish Products,cyprinus carpio (l.)
Finfish and Shellfish Products,ictalurus punctatus (rafinesque)
Finfish and Shellfish Products,coregonus artedi lesueur
Finfish and Shellfish Products,gadus morhua (l.)
Finfish and Shellfish Products,gadus macrocephalus tilesius
Finfish and Shellfish Products,micropogonias undulatus (l.)
Finfish and Shellfish Products,brosme brosme (muller)
Finfish and Shellfish Products,coryphaena hippurus (l.)
Finfish and Shellfish Products,aplodinotus grunniens rafinesque
Finfish and Shellfish Products,anguilla spp.
Finfish and Shellfish Products,bothidae and pleuronectidae
Finfish and Shellfish Products,epinephelus spp.
Finfish and Shellfish Products,melanogrammus aeglefinus (l.)
Finfish and Shellfish Products,hippoglossus hippoglossus (l.) and h. stenolepis schmidt
Finfish and Shellfish Products,reinhardtius hippoglossoides (walbaum)
Finfish and Shellfish Products,clupea harengus harengus (l.)
Finfish and Shellfish Products,clupea harengus pallasi valenciennes
Finfish and Shellfish Products,molva molva (l.)
Finfish and Shellfish Products,ophiodon elongatus girard
Finfish and Shellfish Products,scomber scombrus l.
Finfish and Shellfish Products,trachurus symmetricus (ayers)
Finfish and Shellfish Products,scombermorus cavalla (cuvier)
Finfish and Shellfish Products,scomber spp. and trachurus spp.
Finfish and Shellfish Products,scombermorus maculatus (mitchill)
Finfish and Shellfish Products,chanos chanos (forskaal)
Finfish and Shellfish Products,lophius piscatorius l.
Finfish and Shellfish Products,mugil cephalus l.
Finfish and Shellfish Products,sebastes marinus l.
Finfish and Shellfish Products,macrozoarces americanus (schneider)
Finfish and Shellfish Products,morone americana gmelin and perca flavescens (mitchill)
Finfish and Shellfish Products,esox lucius l.
Finfish and Shellfish Products,stizostedion vitreum vitreum (mitchill)
Finfish and Shellfish Products,pollachius virens l.
Finfish and Shellfish Products,theragra chalcogramma (pallas)
Finfish and Shellfish Products,trachinotus carolinus (l.)
Finfish and Shellfish Products,sebastes spp.
Finfish and Shellfish Products,hoplostethus atlanticus
Finfish and Shellfish Products,anoplopoma fimbria (pallas)
Finfish and Shellfish Products,salmo salar l.
Finfish and Shellfish Products,oncorhynchus tshawytscha (walbaum)
Finfish and Shellfish Products,oncorhynchus keta (walbaum)
Finfish and Shellfish Products,oncorhynchus kisutch (walbaum)
Finfish and Shellfish Products,oncorhynchus gorbuscha (walbaum)
Finfish and Shellfish Products,clupea harengus harengus l.
Finfish and Shellfish Products,sardinops spp.
Finfish and Shellfish Products,stenotomus chrysops l.
Finfish and Shellfish Products,centropristes striata l. and lateolabrax japonicus (cuvier)
Finfish and Shellfish Products,cynoscion spp.
Finfish and Shellfish Products,alosa sapidissima (wilson)
Finfish and Shellfish Products,squaliformes
Finfish and Shellfish Products,archosargus probatocephalus (walbaum)
Finfish and Shellfish Products,osmerus mordax (mitchill)
Finfish and Shellfish Products,lutjanidae
Finfish and Shellfish Products,leiostomus xanthuras lacepede
Finfish and Shellfish Products,acipenser spp.
Finfish and Shellfish Products,catostomus commersoni (lacepede)
Finfish and Shellfish Products,lepomis gibbosus (l.)
Finfish and Shellfish Products,xiphias gladius l.
Finfish and Shellfish Products,lopholatilus chamaeleonticeps goode and bean
Finfish and Shellfish Products,salmonidae
Finfish and Shellfish Products,salmo gairdneri richardson
Finfish and Shellfish Products,thunnus thynnus (l.)
Finfish and Shellfish Products,euthynnus pelamis (l.)
Finfish and Shellfish Products,thunnus albacares (bonnaterre)
Finfish and Shellfish Products,scophthalmus maximus (l.)
Finfish and Shellfish Products,coregonus spp.
Finfish and Shellfish Products,gadidae
Finfish and Shellfish Products,anarhichas lupus (l.)
Finfish and Shellfish Products,seriola spp.
Finfish and Shellfish Products,paralithodes camtschatica (tilesius)
Finfish and Shellfish Products,callinectes sapidus rathbun
Finfish and Shellfish Products,cancer magister dana
Finfish and Shellfish Products,chionoectes opilio (o. fabricius)
Finfish and Shellfish Products,"astacus, orconectes, and procambarus spp."
Finfish and Shellfish Products,homarus americanus milne-edwards
Finfish and Shellfish Products,penaeidae and pandalidae
Finfish and Shellfish Products,jasus spp. and panulirus spp.
Finfish and Shellfish Products,haliotis spp.
Finfish and Shellfish Products,lamellibranchia
Finfish and Shellfish Products,sepiidae
Finfish and Shellfish Products,mytilus edulis l.
Finfish and Shellfish Products,octopus vulgaris lamarck
Finfish and Shellfish Products,crassostrea virginica (gmelin)
Finfish and Shellfish Products,crassostrea gigas (thunberg)
Finfish and Shellfish Products,pectinidae
Finfish and Shellfish Products,loligoidae and ommastrephidae
Finfish and Shellfish Products,buccinidae
Fruits and Fruit Juices,acerola
Fruits and Fruit Juices,acerola juice
Fruits and Fruit Juices,apples
Fruits and Fruit Juices,apple juice
Fruits and Fruit Juices,applesauce
Fruits and Fruit Juices,apricots
Fruits and Fruit Juices,apricot nectar
Fruits and Fruit Juices,avocados
Fruits and Fruit Juices,bananas
Fruits and Fruit Juices,blackberries
Fruits and Fruit Juices,blackberry juice
Fruits and Fruit Juices,cherries
Fruits and Fruit Juices,blueberries
Fruits and Fruit Juices,boysenberries
Fruits and Fruit Juices,breadfruit
Fruits and Fruit Juices,carambola
Fruits and Fruit Juices,carissa
Fruits and Fruit Juices,cherimoya
Fruits and Fruit Juices,crabapples
Fruits and Fruit Juices,cranberries
Fruits and Fruit Juices,cranberry sauce
Fruits and Fruit Juices,cranberry-orange relish
Fruits and Fruit Juices,currants
Fruits and Fruit Juices,custard-apple
Fruits and Fruit Juices,dates
Fruits and Fruit Juices,elderberries
Fruits and Fruit Juices,figs
Fruits and Fruit Juices,fruit cocktail
Fruits and Fruit Juices,fruit salad
Fruits and Fruit Juices,gooseberries
Fruits and Fruit Juices,goji berries
Fruits and Fruit Juices,grapefruit
Fruits and Fruit Juices,grapefruit juice
Fruits and Fruit Juices,grapes
Fruits and Fruit Juices,grape juice
Fruits and Fruit Juices,groundcherries
Fruits and Fruit Juices,guavas
Fruits and Fruit Juices,guava sauce
Fruits and Fruit Juices,jackfruit
Fruits and Fruit Juices,java-plum
Fruits and Fruit Juices,jujube
Fruits and Fruit Juices,kiwifruit
Fruits and Fruit Juices,kumquats
Fruits and Fruit Juices,lemons
Fruits and Fruit Juices,lemon juice
Fruits and Fruit Juices,lemon juice from concentrate
Fruits and Fruit Juices,lemon peel
Fruits and Fruit Juices,limes
Fruits and Fruit Juices,lime juice
Fruits and Fruit Juices,litchis
Fruits and Fruit Juices,loganberries
Fruits and Fruit Juices,longans
Fruits and Fruit Juices,loquats
Fruits and Fruit Juices,mammy-apple
Fruits and Fruit Juices,mangos
Fruits and Fruit Juices,mangosteen
Fruits and Fruit Juices,mango
Fruits and Fruit Juices,melons
Fruits and Fruit Juices,melon balls
Fruits and Fruit Juices,mulberries
Fruits and Fruit Juices,nectarines
Fruits and Fruit Juices,oheloberries
Fruits and Fruit Juices,olives
Fruits and Fruit Juices,oranges
Fruits and Fruit Juices,orange juice
Fruits and Fruit Juices,orange peel
Fruits and Fruit Juices,orange-grapefruit juice
Fruits and Fruit Juices,tangerines
Fruits and Fruit Juices,tangerine juice
Fruits and Fruit Juices,papayas
Fruits and Fruit Juices,papaya
Fruits and Fruit Juices,papaya nectar
Fruits and Fruit Juices,passion-fruit
Fruits and Fruit Juices,passion-fruit juice
Fruits and Fruit Juices,peaches
Fruits and Fruit Juices,peach nectar
Fruits and Fruit Juices,pears
Fruits and Fruit Juices,pear nectar
Fruits and Fruit Juices,persimmons
Fruits and Fruit Juices,pineapple
Fruits and Fruit Juices,pineapple juice
Fruits and Fruit Juices,pitanga
Fruits and Fruit Juices,plantains
Fruits and Fruit Juices,plums
Fruits and Fruit Juices,pomegranates
Fruits and Fruit Juices,prickly pears
Fruits and Fruit Juices,prunes
Fruits and Fruit Juices,prune juice
Fruits and Fruit Juices,pummelo
Fruits and Fruit Juices,quinces
Fruits and Fruit Juices,raisins
Fruits and Fruit Juices,rambutan
Fruits and Fruit Juices,raspberries
Fruits and Fruit Juices,rhubarb
Fruits and Fruit Juices,roselle
Fruits and Fruit Juices,rose-apples
Fruits and Fruit Juices,sapodilla
Fruits and Fruit Juices,sapote
Fruits and Fruit Juices,soursop
Fruits and Fruit Juices,strawberries
Fruits and Fruit Juices,sugar-apples
Fruits and Fruit Juices,tamarinds
Fruits and Fruit Juices,watermelon
Fruits and Fruit Juices,maraschino cherries
Fruits and Fruit Juices,feijoa
Fruits and Fruit Juices,durian
Fruits and Fruit Juices,prune puree
Fruits and Fruit Juices,candied fruit
Fruits and Fruit Juices,abiyuch
Fruits and Fruit Juices,rowal
Fruits and Fruit Juices,usda commodity
Fruits and Fruit Juices,clementines
Fruits and Fruit Juices,guanabana nectar
Fruits and Fruit Juices,guava nectar
Fruits and Fruit Juices,mango nectar
Fruits and Fruit Juices,tamarind nectar
Fruits and Fruit Juices,usda commodity peaches
Fruits and Fruit Juices,usda commodity pears
Fruits and Fruit Juices,pomegranate juice
Fruits and Fruit Juices,juice
Fruits and Fruit Juices,nance
Fruits and Fruit Juices,naranjilla (lulo) pulp
Fruits and Fruit Juices,horned melon (kiwano)
Fruits and Fruit Juices,orange pineapple juice blend
Fruits and Fruit Juices,fruit juice smoothie
Fruits and Fruit Juices,cranberry juice blend
Fruits and Fruit Juices,ruby red grapefruit juice blend (grapefruit
Fruits and Fruit Juices,cranberry juice
Fruits and Fruit Juices,malpighia emarginata
Fruits and Fruit Juices,malus domestica
Fruits and Fruit Juices,prunus armeniaca
Fruits and Fruit Juices,persea americana
Fruits and Fruit Juices,musa acuminata colla
Fruits and Fruit Juices,rubus spp.
Fruits and Fruit Juices,vaccinium spp.
Fruits and Fruit Juices,rubus ursinus var. loganobaccus
Fruits and Fruit Juices,artocarpus altilis
Fruits and Fruit Juices,averrhoa carambola
Fruits and Fruit Juices,carissa macrocarpa
Fruits and Fruit Juices,annona cherimola
Fruits and Fruit Juices,prunus cerasus
Fruits and Fruit Juices,prunus avium
Fruits and Fruit Juices,malus spp.
Fruits and Fruit Juices,vaccinium macrocarpon
Fruits and Fruit Juices,ribes nigrum
Fruits and Fruit Juices,ribes rubrum
Fruits and Fruit Juices,vitis vinifera
Fruits and Fruit Juices,annona reticulata
Fruits and Fruit Juices,phoenix dactylifera
Fruits and Fruit Juices,sambucus spp.
Fruits and Fruit Juices,ficus carica
Fruits and Fruit Juices,ribes spp.
Fruits and Fruit Juices,lycium barbarum l.
Fruits and Fruit Juices,citrus paradisi
Fruits and Fruit Juices,vitis rotundifolia
Fruits and Fruit Juices,vitis spp.
Fruits and Fruit Juices,physalis spp.
Fruits and Fruit Juices,psidium guajava
Fruits and Fruit Juices,psidium cattleianum
Fruits and Fruit Juices,artocarpus heterophyllus
Fruits and Fruit Juices,syzygium cumini
Fruits and Fruit Juices,ziziphus jujuba
Fruits and Fruit Juices,actinidia deliciosa
Fruits and Fruit Juices,fortunella spp.
Fruits and Fruit Juices,citrus limon
Fruits and Fruit Juices,citrus latifolia
Fruits and Fruit Juices,litchi chinensis
Fruits and Fruit Juices,dimocarpus longan
Fruits and Fruit Juices,eriobotrya japonica
Fruits and Fruit Juices,mammea americana
Fruits and Fruit Juices,mangifera indica
Fruits and Fruit Juices,garcinia mangostana
Fruits and Fruit Juices,cucumis melo
Fruits and Fruit Juices,morus nigra
Fruits and Fruit Juices,prunus persica var. nucipersica
Fruits and Fruit Juices,vaccinium reticulatum
Fruits and Fruit Juices,olea europaea
Fruits and Fruit Juices,citrus sinensis
Fruits and Fruit Juices,citrus reticulata
Fruits and Fruit Juices,carica papaya
Fruits and Fruit Juices,passiflora edulis
Fruits and Fruit Juices,passiflora edulis f. flavicarpa
Fruits and Fruit Juices,prunus persica
Fruits and Fruit Juices,pyrus communis
Fruits and Fruit Juices,diospyros kaki
Fruits and Fruit Juices,diospyros virginiana
Fruits and Fruit Juices,ananas comosus
Fruits and Fruit Juices,eugenia uniflora
Fruits and Fruit Juices,musa x paradisiaca
Fruits and Fruit Juices,prunus spp.
Fruits and Fruit Juices,punica granatum
Fruits and Fruit Juices,opuntia spp.
Fruits and Fruit Juices,prunus domestica
Fruits and Fruit Juices,citrus maxima
Fruits and Fruit Juices,cydonia oblonga
Fruits and Fruit Juices,nephelium lappaceum
Fruits and Fruit Juices,rheum rhabarbarum
Fruits and Fruit Juices,hibiscus sabdariffa
Fruits and Fruit Juices,syzygium jambos
Fruits and Fruit Juices,manilkara zapota
Fruits and Fruit Juices,pouteria sapota
Fruits and Fruit Juices,annona muricata
Fruits and Fruit Juices,fragaria x ananassa
Fruits and Fruit Juices,annona squamosa
Fruits and Fruit Juices,tamarindus indica
Fruits and Fruit Juices,citrullus lanatus
Fruits and Fruit Juices,acca sellowiana
Fruits and Fruit Juices,pyrus pyrifolia (burman f.) nakai
Fruits and Fruit Juices,durio zibethinus
Fruits and Fruit Juices,crateva religiosa
Fruits and Fruit Juices,pangium edule
Fruits and Fruit Juices,citrus clementina hort. ex tanaka
Fruits and Fruit Juices,byrsonima crassifolia (l.) kunth
Fruits and Fruit Juices,solanum quitoense lam.
Fruits and Fruit Juices,cucumis metulifer
Fruits and Fruit Juices,actinidia chinensis ü¾Œ“¤¼zesy002ü¾Œ£¤¼ (gold3)
"Lamb, Veal, and Game Products",veal
"Lamb, Veal, and Game Products",lamb
"Lamb, Veal, and Game Products",game meat
"Lamb, Veal, and Game Products",bison
"Lamb, Veal, and Game Products",goat
"Lamb, Veal, and Game Products",game meat 
"Lamb, Veal, and Game Products",ovis aries
"Lamb, Veal, and Game Products",bos taurus
"Lamb, Veal, and Game Products","antilocapra americana, bosephalus tragocamelus"
"Lamb, Veal, and Game Products","ursus arctos, euarctos spp."
"Lamb, Veal, and Game Products",bison bison
"Lamb, Veal, and Game Products",castor canadensis
"Lamb, Veal, and Game Products",sus scrofa
"Lamb, Veal, and Game Products",bubalus bubalis
"Lamb, Veal, and Game Products",rangifer spp.
"Lamb, Veal, and Game Products",odocoileus spp.
"Lamb, Veal, and Game Products",cervus elaphyus
"Lamb, Veal, and Game Products",equus caballus
"Lamb, Veal, and Game Products",alces alces
"Lamb, Veal, and Game Products",ondatra zibethica
"Lamb, Veal, and Game Products",didelphis virginiana
"Lamb, Veal, and Game Products",oryctolagus spp.
"Lamb, Veal, and Game Products","sylvilagus spp., oryctolagus spp."
"Lamb, Veal, and Game Products",procyon lotor
