class,id,name,rank
misspelling,729,Haemophilus parainfluenza,species
scientific name,729,Haemophilus parainfluenzae,species
authority,729,Haemophilus parainfluenzae Rivers 1922,species
scientific name,815,Bacteroidaceae,family
authority,815,Bacteroidaceae Pribram 1933,family
authority,816,Ristella Prevot 1938,genus
scientific name,816,Bacteroides,genus
authority,816,Bacteroides Castellani and Chalmers 1919 (Approved Lists 1980) emend. Shah and Collins 1989,genus
synonym,816,Capsularis,genus
authority,816,Capsularis Prevot 1938 (Approved Lists 1980),genus
synonym,816,Ristella,genus
authority,817,Bacteroides inaequalis Eggerth and Gagnon 1933,species
authority,817,Bacteroides incommunis Eggerth and Gagnon 1933,species
authority,817,Bacteroides uncatus Eggerth and Gagnon 1933,species
authority,817,Fusiformis fragilis Topley and Wilson 1929,species
authority,817,Pseudobacterium fragilis Krasil'nikov 1949,species
authority,817,Pseudobacterium inaequalis (Eggerth and Gagnon 1933) Krasil'nikov 1949,species
authority,817,Pseudobacterium incommunis (Eggerth and Gagnon 1933) Krasil'nikov 1949,species
authority,817,Pseudobacterium uncatum (Eggerth and Gagnon 1933) Krasil'nikov 1949,species
authority,817,Ristella fragilis Prevot 1938,species
authority,817,Ristella incommunis (Eggerth and Gagnon 1933) Prevot 1938,species
authority,817,Ristella uncata (Eggerth and Gagnon 1933) Prevot 1938,species
authority,817,Sphaerophorus inaequalis (Eggerth and Gagnon 1933) Prevot 1938,species
authority,817,Sphaerophorus intermedius Bergan and Hovig 1968,species
synonym,817,Bacillus fragilis,species
authority,817,Bacillus fragilis Veillon and Zuber 1898,species
misspelling,817,Bacteroides fragili,species
scientific name,817,Bacteroides fragilis,species
authority,817,Bacteroides fragilis (Veillon and Zuber 1898) Castellani and Chalmers 1919,species
synonym,817,Bacteroides inaequalis,species
synonym,817,Bacteroides incommunis,species
synonym,817,Bacteroides uncatus,species
synonym,817,Fusiformis fragilis,species
synonym,817,Pseudobacterium fragilis,species
synonym,817,Pseudobacterium inaequalis,species
synonym,817,Pseudobacterium incommunis,species
synonym,817,Pseudobacterium uncatum,species
synonym,817,Ristella fragilis,species
synonym,817,Ristella incommunis,species
synonym,817,Ristella uncata,species
synonym,817,Sphaerophorus inaequalis,species
synonym,817,Sphaerophorus intermedius,species
authority,818,Bacillus thetaiotaomicron Distaso 1912,species
authority,818,Bacteroides fragilis subsp. thetaiotaomicron (Distaso 1912) Holdeman and Moore 1970,species
authority,818,Pseudobacterium thetaiotaomicron (Distaso 1912) Krasil'nikov 1949,species
authority,818,Sphaerocillus thetaiotaomicron (Distaso 1912) Prevot 1938,species
synonym,818,Bacillus thetaiotaomicron,species
synonym,818,Bacteroides fragilis subsp. thetaiotaomicron,species
scientific name,818,Bacteroides thetaiotaomicron,species
authority,818,Bacteroides thetaiotaomicron (Distaso 1912) Castellani and Chalmers 1919,species
synonym,818,Pseudobacterium thetaiotaomicron,species
synonym,818,Sphaerocillus thetaiotaomicron,species
scientific name,820,Bacteroides uniformis,species
authority,820,Bacteroides uniformis Eggerth and Gagnon 1933,species
scientific name,821,Bacteroides vulgatus,species
authority,821,Bacteroides vulgatus Eggerth and Gagnon 1933,species
authority,823,Bacteroides fragilis subsp. distasonis (Eggerth and Gagnon 1933) Holdeman and Moore 1970,species
authority,823,Pseudobacterium distasonis (Eggerth and Gagnon 1933) Krasil'nikov 1949,species
authority,823,Ristella distasonis (Eggerth and Gagnon 1933) Prevot 1938,species
synonym,823,Bacteroides distasonis,species
authority,823,Bacteroides distasonis Eggerth and Gagnon 1933 (Approved Lists 1980),species
synonym,823,Bacteroides fragilis subsp. distasoni,species
scientific name,823,Parabacteroides distasonis,species
authority,823,Parabacteroides distasonis (Eggerth and Gagnon 1933) Sakamoto and Benno 2006,species
synonym,823,Pseudobacterium distasonis,species
synonym,823,Ristella distasonis,species
scientific name,830,Butyrivibrio,genus
authority,830,Butyrivibrio Bryant and Small 1956,genus
scientific name,831,Butyrivibrio fibrisolvens,species
authority,831,Butyrivibrio fibrisolvens Bryant and Small 1956,species
scientific name,838,Prevotella,genus
authority,838,Prevotella Shah and Collins 1990 emend. Sakamoto and Ohkuma 2012,genus
authority,838,Prevotella Shah and Collins 1990 emend. Willems and Collins 1995,genus
synonym,838,Xylanibacter,genus
authority,838,Xylanibacter Ueki et al. 2006,genus
scientific name,841,Roseburia,genus
authority,841,Roseburia Stanton and Savage 1983,genus
equivalent name,841,Roseburya,genus
equivalent name,841,Roseburyella,genus
authority,853,Bacillus mucosus anaerobius Prausnitz 1922,species
authority,853,Bacteroides praussnitzii (sic) Hauduroy et al. 1937,species
synonym,853,Bacillus mucosus anaerobius,species
synonym,853,Bacteroides praussnitzii,species
scientific name,853,Faecalibacterium prausnitzii,species
authority,853,Faecalibacterium prausnitzii (Hauduroy et al. 1937) Duncan et al. 2002,species
synonym,853,Fusobacterium prausnitzii,species
authority,853,Fusobacterium prausnitzii (Hauduroy et al. 1937) Moore and Holdeman 1970 (Approved Lists 1980),species
equivalent name,853,[Fusobacterium] prausnitzii,species
includes,853,butyrate-producing bacterium A2-165,species
synonym,872,Sporovibrio Starkey 1938,genus
includes,872,Desulfomonas,genus
includes,872,Desulfomonas Moore et al. 1976,genus
scientific name,872,Desulfovibrio,genus
synonym,872,Desulfovibrio Kluyver and van Niel 1936 (Approved Lists 1980) emend. Loubinoux et al. 2002,genus
synonym,872,Sporovibrio,genus
synonym,901,Desulfomonas pigra,species
authority,901,Desulfomonas pigra Moore et al. 1976,species
scientific name,901,Desulfovibrio piger,species
authority,901,Desulfovibrio piger (Moore et al. 1976) Loubinoux et al. 2002,species
scientific name,904,Acidaminococcus,genus
authority,904,Acidaminococcus Rogosa 1969 (Approved Lists 1980) emend. Cook et al. 1994,genus
authority,904,Acidaminococcus Rogosa 1969 emend. Jumas-Bilak et al. 2007,genus
scientific name,905,Acidaminococcus fermentans,species
authority,905,Acidaminococcus fermentans Rogosa 1969 (Approved Lists 1980) emend. Cook et al. 1994,species
scientific name,906,Megasphaera,genus
authority,906,Megasphaera Rogosa 1971 (Approved Lists 1980) emend. Marchandin et al. 2003,genus
authority,907,Organism LC Elsden and Lewis 1953,species
authority,907,Peptostreptococcus elsdenii Gutierrez et al. 1959,species
authority,907,rumen organism LC Elsden et al. 1956,species
scientific name,907,Megasphaera elsdenii,species
authority,907,Megasphaera elsdenii (Gutierrez et al. 1959) Rogosa 1971,species
synonym,907,Organism LC,species
synonym,907,Peptostreptococcus elsdenii,species
synonym,907,rumen organism LC,species
synonym,976,BCF group,phylum
synonym,976,Bacteroides-Cytophaga-Flexibacter group,phylum
scientific name,976,Bacteroidetes,phylum
authority,976,Bacteroidetes Krieg et al. 2012,phylum
synonym,976,CFB group,phylum
blast name,976,CFB group bacteria,phylum
synonym,976,Cytophaga-Flexibacter-Bacteroides phylum,phylum
scientific name,1224,Proteobacteria,phylum
authority,1224,Proteobacteria Garrity et al. 2005,phylum
authority,1224,Proteobacteria [class] Stackebrandt et al. 1988,phylum
authority,1224,not Proteobacteria Cavalier-Smith 2002,phylum
blast name,1224,proteobacteria,phylum
common name,1224,purple bacteria,phylum
common name,1224,purple bacteria and relatives,phylum
common name,1224,purple non-sulfur bacteria,phylum
common name,1224,purple photosynthetic bacteria,phylum
common name,1224,purple photosynthetic bacteria and relatives,phylum
scientific name,1236,Gammaproteobacteria,class
synonym,1236,Gammaproteobacteria Garrity et al. 2005,class
synonym,1236,Proteobacteria gamma subdivision,class
synonym,1236,"Purple bacteria, gamma subdivision",class
blast name,1236,g-proteobacteria,class
synonym,1236,gamma proteobacteria,class
synonym,1236,gamma subdivision,class
synonym,1236,gamma subgroup,class
synonym,1239,Bacillus/Clostridium group,phylum
synonym,1239,Clostridium group firmicutes,phylum
synonym,1239,Firmacutes,phylum
scientific name,1239,Firmicutes,phylum
authority,1239,Firmicutes corrig. Gibbons and Murray 1978,phylum
misspelling,1239,Gram positive bacteria,phylum
genbank common name,1239,Gram-positive bacteria,phylum
synonym,1239,Low G+C firmicutes,phylum
synonym,1239,clostridial firmicutes,phylum
blast name,1239,firmicutes,phylum
common name,1239,low G+C Gram-positive bacteria,phylum
common name,1239,low GC Gram+,phylum
scientific name,1263,Ruminococcus,genus
authority,1263,Ruminococcus Sijpesteijn 1948,genus
scientific name,1264,Ruminococcus albus,species
authority,1264,Ruminococcus albus Hungate 1957,species
scientific name,1265,Ruminococcus flavefaciens,species
authority,1265,Ruminococcus flavefaciens Sijpesteijn 1948,species
scientific name,1266,Sarcina,genus
authority,1266,Sarcina Goodsir 1842,genus
synonym,1267,Zymosarcina ventriculi (Goodsir 1842) Smit 1930,species
scientific name,1267,Sarcina ventriculi,species
synonym,1267,Sarcina ventriculi Goodsir 1842,species
synonym,1267,Zymosarcina ventriculi,species
authority,1279,Aurococcus Winslow and Rogers 1906,genus
synonym,1279,Aurococcus,genus
scientific name,1279,Staphylococcus,genus
authority,1279,Staphylococcus Rosenbach 1884,genus
scientific name,1296,Staphylococcus sciuri,species
authority,1296,Staphylococcus sciuri Kloos et al. 1976,species
scientific name,1300,Streptococcaceae,family
authority,1300,Streptococcaceae Deibel and Seeley 1974,family
scientific name,1301,Streptococcus,genus
authority,1301,Streptococcus Rosenbach 1884,genus
scientific name,1322,Blautia hansenii,species
authority,1322,Blautia hansenii (Holdeman and Moore 1974) Liu et al. 2008,species
synonym,1322,Ruminococcus hansenii,species
authority,1322,Ruminococcus hansenii (Holdeman and Moore 1974) Ezaki et al. 1994,species
synonym,1322,Streptococcus hansenii,species
authority,1322,Streptococcus hansenii Holdeman and Moore 1974 (Approved Lists 1980),species
scientific name,1343,Streptococcus vestibularis,species
authority,1343,Streptococcus vestibularis Whiley and Hardie 1988,species
authority,1350,Enterococcus Thiercelin and Jouhaud 1903,genus
scientific name,1350,Enterococcus,genus
authority,1350,Enterococcus (ex Thiercelin and Jouhaud 1903) Schleifer and Kilpper-Balz 1984,genus
scientific name,1354,Enterococcus hirae,species
authority,1354,Enterococcus hirae Farrow and Collins 1985,species
scientific name,1357,Lactococcus,genus
authority,1357,Lactococcus Schleifer et al. 1986,genus
genbank common name,1357,lactic streptococci,genus
authority,1358,Bacterium lactis Lister 1873,species
synonym,1358,Bacterium lacti,species
scientific name,1358,Lactococcus lactis,species
authority,1358,Lactococcus lactis (Lister 1873) Schleifer et al. 1986,species
misnomer,1358,Lactococcus lactis (Lohnis) Schleifer et al. 1986,species
synonym,1358,Streptococcus lactis,species
authority,1358,Streptococcus lactis (Lister 1873) Lohnis 1909 (Approved Lists 1980),species
scientific name,1366,Lactococcus raffinolactis,species
authority,1366,Lactococcus raffinolactis (Orla-Jensen and Hansen 1932) Schleifer et al. 1988,species
synonym,1366,Streptococcus raffinolactis,species
authority,1366,Streptococcus raffinolactis Orla-Jensen and Hansen 1932 (Approved Lists 1980),species
scientific name,1385,Bacillales,order
authority,1385,Bacillales Prevot 1953,order
synonym,1385,Bacillus/Staphylococcus group,order
scientific name,1485,Clostridium,genus
authority,1485,Clostridium Prazmowski 1880,genus
authority,1512,Bacteroides symbiosus Stevens 1956,species
synonym,1512,Bacteroides symbiosus,species
equivalent name,1512,Clostridium symbiosum,species
authority,1512,Clostridium symbiosum (Stevens 1956) Kaneuchi et al. 1976,species
scientific name,1512,[Clostridium] symbiosum,species
equivalent name,1522,Clostridium innocuum,species
authority,1522,Clostridium innocuum Smith and King 1962,species
misspelling,1522,Clostridium inocuum,species
scientific name,1522,[Clostridium] innocuum,species
authority,1531,Bacterium clostridiiforme Burri and Ankersmit 1906,species
authority,1531,Bacteroides clostridiiformis (Burri and Ankersmit 1906) Holdeman and Moore 1970,species
authority,1531,Eggerthella clostridiiformis (Burri and Ankersmit 1906) Beerens et al. 1962,species
authority,1531,Ristella clostridiiformis (Burri and Ankersmit 1906) Prevot 1938,species
synonym,1531,Bacterium clostridiiforme,species
synonym,1531,Bacteroides clostridiiformis,species
synonym,1531,Clostridium clostridiiforme,species
misspelling,1531,Clostridium clostridiiformes,species
equivalent name,1531,Clostridium clostridioforme,species
authority,1531,Clostridium clostridioforme corrig. (Burri and Ankersmit 1906) Kaneuchi et al. 1976,species
synonym,1531,Eggerthella clostridiiformis,species
synonym,1531,Ristella clostridiiformis,species
scientific name,1531,[Clostridium] clostridioforme,species
scientific name,1532,Blautia coccoides,species
authority,1532,Blautia coccoides (Kaneuchi et al. 1976) Liu et al. 2008,species
synonym,1532,Clostridium coccoides,species
authority,1532,Clostridium coccoides Kaneuchi et al. 1976 (Approved Lists 1980),species
authority,1537,Inflabilis litus-eburense Laplanche and Saissac in Prevot 1948,species
synonym,1537,Clostridium lituseburense,species
authority,1537,Clostridium lituseburense (Laplanche and Saissac 1948) McClung and McCoy 1957,species
synonym,1537,Inflabilis litus-eburense,species
scientific name,1537,Romboutsia lituseburensis,species
authority,1537,Romboutsia lituseburensis (Laplanche and Saissac 1948) Gerritsen et al. 2014,species
synonym,1537,[Clostridium] lituseburense,species
authority,1547,Bacillus ramosus Veillon and Zuber 1898,species
authority,1547,Erysipelatoclostridium ramosum Yutin and Galperin 2013,species
authority,1547,Nocardia ramosa Vuillemin 1931,species
authority,1547,Ramibacterium ramosum (Veillon and Zuber 1898) Prevot 1938,species
synonym,1547,Bacillus ramosus,species
synonym,1547,Clostridium ramosum,species
authority,1547,Clostridium ramosum (Veillon and Zuber 1898) Holdeman et al. 1971,species
scientific name,1547,Erysipelatoclostridium ramosum,species
synonym,1547,Nocardia ramosa,species
synonym,1547,Ramibacterium ramosum,species
genbank synonym,1547,[Clostridium] ramosum,species
equivalent name,1549,Clostridium sporosphaeroides,species
authority,1549,Clostridium sporosphaeroides Soriano and Soriano 1948,species
scientific name,1549,[Clostridium] sporosphaeroides,species
synonym,1559,Bacillus tertius Henry 1917,species
synonym,1559,Henrillus tertius (Henry 1917) Heller 1922,species
synonym,1559,Plectridium tertium (Henry 1917) Prevot 1938,species
synonym,1559,Bacillus tertius,species
scientific name,1559,Clostridium tertium,species
synonym,1559,Clostridium tertium (Henry 1917) Bergey et al. 1923,species
synonym,1559,Henrillus tertius,species
synonym,1559,Plectridium tertium,species
scientific name,1578,Lactobacillus,genus
authority,1578,Lactobacillus Beijerinck 1901 (Approved Lists 1980) emend. Cai et al. 2012,genus
authority,1578,Lactobacillus Beijerinck 1901 (Approved Lists 1980) emend. Haakensen et al. 2009,genus
synonym,1578,Paralactobacillus,genus
authority,1578,Paralactobacillus Leisner et al. 2000,genus
authority,1590,Lactobacillus arabinosus Fred et al.,species
authority,1590,Lactobacillus plantari (sic) (Orla-Jensen 1919) Bergey et al. 1923 (Approved Lists 1980),species
authority,1590,Lactobacterium plantarum (Orla-Jensen 1919) Krasil'nikov 1949,species
authority,1590,Streptobacterium plantarum Orla-Jensen 1919,species
synonym,1590,Lactobacillus arabinosus,species
equivalent name,1590,Lactobacillus arizonae,species
synonym,1590,Lactobacillus arizonensis,species
authority,1590,Lactobacillus arizonensis Swezey et al. 2000,species
synonym,1590,Lactobacillus plantari,species
scientific name,1590,Lactobacillus plantarum,species
authority,1590,Lactobacillus plantarum (Orla-Jensen 1919) Bergey et al. 1923,species
includes,1590,Lactobacillus sp. Lact08,species
includes,1590,Lactobacillus sp. Lact09,species
includes,1590,Lactobacillus sp. Lact14,species
includes,1590,Lactobacillus sp. M6DWS,species
includes,1590,Lactobacillus sp. S2,species
includes,1590,Lactobacillus sp. S8,species
includes,1590,Lactobacillus sp. Z12,species
synonym,1590,Lactobacterium plantarum,species
synonym,1590,Streptobacterium plantarum,species
includes,1590,Weissella sp. Lact07,species
scientific name,1596,Lactobacillus gasseri,species
authority,1596,Lactobacillus gasseri Lauer and Kandler 1980,species
scientific name,1597,Lactobacillus paracasei,species
authority,1597,Lactobacillus paracasei Collins et al. 1989,species
includes,1597,Lactobacillus sp. LBS3,species
includes,1597,Lactobacillus sp. O3,species
includes,1597,Lactobacillus sp. T16,species
includes,1597,Lactobacillus sp. T3,species
includes,1597,Lactobacillus sp. TD3,species
includes,1597,Lactobacillus sp. W-29B,species
includes,1597,Lactobacillus sp. X-3B,species
includes,1597,Lactobacillus sp. X24,species
scientific name,1605,Lactobacillus animalis,species
authority,1605,Lactobacillus animalis Dent and Williams 1983,species
scientific name,1623,Lactobacillus ruminis,species
authority,1623,Lactobacillus ruminis Sharpe et al. 1973,species
scientific name,1630,Kandleria vitulina,species
authority,1630,Kandleria vitulina (Sharpe et al. 1973) Salvetti et al. 2011,species
synonym,1630,Lactobacillus vitulinus,species
authority,1630,Lactobacillus vitulinus Sharpe et al. 1973 (Approved Lists 1980),species
scientific name,1633,Lactobacillus vaginalis,species
synonym,1633,Lactobacillus vaginalis Embley et al. 1989,species
authority,1678,Bifidibacterium Prevot 1938,genus
authority,1678,Tissieria Pribram 1929,genus
synonym,1678,Bifidibacterium,genus
scientific name,1678,Bifidobacterium,genus
authority,1678,Bifidobacterium Orla-Jensen 1924,genus
synonym,1678,Tissieria,genus
scientific name,1680,Bifidobacterium adolescentis,species
synonym,1680,Bifidobacterium adolescentis Reuter 1963,species
authority,1681,Actinobacterium bifidum (Tissier 1900) Puntoni 1937,species
authority,1681,Actinomyces bifidus (Tissier 1900) Nannizzi 1934,species
authority,1681,Actinomyces parabifidus (Weiss and Rettger 1938) Pine and Georg 1965,species
authority,1681,Bacillus bifidus communis Tissier 1900,species
authority,1681,Bacillus bifidus Tissier 1900,species
authority,1681,Bacterium bifidum (Tissier 1900) Lehmann and Neumann 1927,species
authority,1681,Bacteroides bifidus (Tissier 1900) Castellani and Chalmers 1919,species
authority,1681,Bifidibacterium bifidum (Tissier 1900) Prevot 1938,species
authority,1681,Cohnistreptothrix bifidus (Tissier 1900) Negroni and Fischer 1944,species
authority,1681,Lactobacillus bifidus type II Weiss and Rettger 1938,species
authority,1681,Lactobacillus parabifidus Weiss and Rettger 1938,species
authority,1681,Nocardia bifida (Tissier 1900) Vuillemin 1931,species
authority,1681,Tissieria bifida (Tissier 1900) Pribram 1929,species
synonym,1681,Actinobacterium bifidum,species
synonym,1681,Actinomyces bifidus,species
synonym,1681,Actinomyces parabifidus,species
synonym,1681,Bacillus bifidus,species
synonym,1681,Bacillus bifidus communis,species
synonym,1681,Bacterium bifidum,species
synonym,1681,Bacteroides bifidus,species
synonym,1681,Bifidibacterium bifidum,species
scientific name,1681,Bifidobacterium bifidum,species
authority,1681,Bifidobacterium bifidum (Tissier 1900) Orla-Jensen 1924,species
synonym,1681,Cohnistreptothrix bifidus,species
synonym,1681,Lactobacillus bifidus type II,species
synonym,1681,Lactobacillus parabifidus,species
synonym,1681,Nocardia bifida,species
synonym,1681,Tissieria bifida,species
scientific name,1686,Bifidobacterium catenulatum,species
authority,1686,Bifidobacterium catenulatum Scardovi and Crociani 1974,species
scientific name,1694,Bifidobacterium pseudolongum,species
authority,1694,Bifidobacterium pseudolongum Mitsuoka 1969,species
scientific name,1730,Eubacterium,genus
authority,1730,Eubacterium Prevot 1938 (Approved Lists 1980) emend. Cato et al. 1983,genus
authority,1735,Bacteroides biformis Eggerth 1935,species
authority,1735,Pseudobacterium biforme (Eggerth 1935) Krasil'nikov 1949,species
synonym,1735,Bacteroides biformis,species
synonym,1735,Eubacterium biforme,species
authority,1735,Eubacterium biforme (Eggerth 1935) Prevot 1938,species
scientific name,1735,Holdemanella biformis,species
authority,1735,Holdemanella biformis (Eggerth 1935) De Maesschalck et al. 2014,species
synonym,1735,Pseudobacterium biforme,species
authority,1737,Bacillus spatuliformis (Prevot 1938) Prevot 1940,species
authority,1737,Bacillus tenuis spatuliformis Distaso 1911,species
authority,1737,Bacteroides tenuis Bergey et al. 1923,species
authority,1737,Cillobacterium spatuliforme Prevot 1938,species
authority,1737,Cillobacterium tenue (Bergey et al. 1923) Clise 1957,species
synonym,1737,Bacillus spatuliformis,species
synonym,1737,Bacillus tenuis spatuliformis,species
synonym,1737,Bacteroides tenuis,species
synonym,1737,Cillobacterium spatuliforme,species
synonym,1737,Cillobacterium tenue,species
equivalent name,1737,Eubacterium tenue,species
authority,1737,Eubacterium tenue (Bergey et al. 1923) Holdeman and Moore 1970,species
scientific name,1737,[Eubacterium] tenue,species
scientific name,1760,Actinobacteria,class
authority,1760,Actinobacteria Stackebrandt et al. 1997,class
includes,1760,Actinobacteridae,class
authority,1760,Actinobacteridae Stackebrandt et al. 1997 emend. Zhi et al. 2009,class
synonym,1760,Actinomycetes,class
authority,1760,Actinomycetes Krasil'nikov 1949,class
synonym,1760,High GC gram-positive bacteria,class
genbank common name,1760,high G+C Gram-positive bacteria,class
blast name,1760,high GC Gram+,class
scientific name,2158,Methanobacteriales,order
authority,2158,Methanobacteriales Balch and Wolfe 1981,order
scientific name,2159,Methanobacteriaceae,family
authority,2159,Methanobacteriaceae Barker 1956,family
scientific name,2172,Methanobrevibacter,genus
authority,2172,Methanobrevibacter Balch and Wolfe 1981,genus
scientific name,2173,Methanobrevibacter smithii,species
authority,2173,Methanobrevibacter smithii Balch and Wolfe 1981,species
scientific name,2316,Methanosphaera,genus
authority,2316,Methanosphaera Miller and Wolin 1985,genus
scientific name,2317,Methanosphaera stadtmanae,species
authority,2317,Methanosphaera stadtmanae Miller and Wolin 1985,species
synonym,2317,Methanosphaera stadtmaniae,species
synonym,2317,Methanosphaera stadtmanii,species
scientific name,2740,Peptococcus,genus
authority,2740,Peptococcus Kluyver and van Niel 1936,genus
authority,2741,Micrococcus niger Hall 1930,species
synonym,2741,Micrococcus niger,species
scientific name,2741,Peptococcus niger,species
authority,2741,Peptococcus niger (Hall 1930) Kluyver and van Niel 1936,species
scientific name,28026,Bifidobacterium pseudocatenulatum,species
authority,28026,Bifidobacterium pseudocatenulatum Scardovi et al. 1979,species
scientific name,28111,Bacteroides eggerthii,species
authority,28111,Bacteroides eggerthii Holdeman and Moore 1974,species
synonym,28112,Bacteroides forsythus,species
authority,28112,Bacteroides forsythus Tanner et al. 1986,species
synonym,28112,Tannerella forsythensis,species
authority,28112,Tannerella forsythensis corrig. (Tanner et al. 1986) Sakamoto et al. 2002,species
scientific name,28112,Tannerella forsythia,species
authority,28112,Tannerella forsythia corrig. (Tanner et al. 1986) Sakamoto et al. 2002,species
authority,28117,Bacillus putredinis Weinberg et al. 1937,species
authority,28117,Pseudobacterium putredinis (Weinberg et al. 1937) Krasil'nikov 1949,species
authority,28117,Ristella putredinis (Weinberg et al. 1937) Prevot 1938,species
scientific name,28117,Alistipes putredinis,species
authority,28117,Alistipes putredinis (Weinberg et al. 1937) Rautio et al. 2003,species
synonym,28117,Bacillus putredinis,species
misspelling,28117,Bacteroides putredenis,species
