Characterization and comparison of bacterial communities in benign vocal fold lesions	microbiome	NO IMPACT
NLRs: Sentinels of innate immunity or cancer culprits?	oncoscience	NO IMPACT
Mobile elements, zoonotic pathogens and commensal bacteria: conduits for the delivery of resistance genes into humans, production animals and soil microbiota	frontiers in microbiology	3.989
Visceral and subcutaneous adipose tissue from lean women respond differently to lipopolysaccharide-induced alteration of inflammation and glyceroneogenesis	nutrition & diabetes	2.654
Significance of bacteria in oviposition and larval development of the sand fly Lutzomyia longipalpis	parasites & vectors	3.43
Mining the phytomicrobiome to understand how bacterial coinoculations enhance plant growth	frontiers in plant science	3.948
The future of lupin as a protein crop in Europe	frontiers in plant science	3.948
Microbicides for the Treatment of Sexually Transmitted HIV Infections	journal of pharmaceutics	NO IMPACT
Gut Microbiota in Human Adults with Type 2 Diabetes Differs from Non-Diabetic Adults	plos one	3.234
Peptide markers of aminoacyl tRNA synthetases facilitate taxa counting in metagenomic data	bmc genomics	3.986
Update on Berberine in Nonalcoholic Fatty Liver Disease	evidence-based complementary and alternative medicine : ecam	NO IMPACT
Toxoplasmosis and Polygenic Disease Susceptibility Genes: Extensive Toxoplasma gondii Host/Pathogen Interactome Enrichment in Nine Psychiatric or Neurological Disorders	journal of pathogens	NO IMPACT
Isolation and Characterization of Anaerobic Bacteria for Symbiotic Recycling of Uric Acid Nitrogen in the Gut of Various Termites	microbes and environments	2.231
Probiotic Therapy of the Irritable Bowel Syndrome: Why Is the Evidence Still Poor and What Can Be Done About It?	journal of neurogastroenterology and motility	2.296
Helicobacter pylori Induced Gastric Immunopathology Is Associated with Distinct Microbiota Changes in the Large Intestines of Long-Term Infected Mongolian Gerbils	plos one	3.234
Propionic acid and butyric acid inhibit lipolysis and de novo lipogenesis and increase insulin-stimulated glucose uptake in primary rat adipocytes	adipocyte	NO IMPACT
Morbidly Obese Human Subjects Have Increased Peripheral Blood CD4+ T Cells With Skewing Toward a Treg- and Th2-Dominated Phenotype	diabetes	8.095
Perinatal nutrition programs neuroimmune function long-term: mechanisms and implications	frontiers in neuroscience	3.656
Bifidobacterium longum CCM 7952 Promotes Epithelial Barrier Function and Prevents Acute DSS-Induced Colitis in Strictly Strain-Specific Manner	plos one	3.234
Impaired Adipose Tissue Expandability and Lipogenic Capacities as Ones of the Main Causes of Metabolic Disorders	journal of diabetes research	2.164
Impact of Azospirillum sp. B510 Inoculation on Rice-Associated Bacterial Communities in a Paddy Field	microbes and environments	2.231
The First Steps of Adaptation of Escherichia coli to the Gut Are Dominated by Soft Sweeps	plos genetics	7.528
Characterizing the Host and Symbiont Proteomes in the Association between the Bobtail Squid, Euprymna scolopes, and the Bacterium, Vibrio fischeri	plos one	3.234
TcI/TcII co-infection can enhance Trypanosoma cruzi growth in Rhodnius prolixus	parasites & vectors	3.43
Human Antimicrobial Peptides and Proteins	pharmaceuticals	NO IMPACT
A Phase-Variable Surface Layer from the Gut Symbiont Bacteroides thetaiotaomicron	mbio	6.786
Exposing to Cadmium Stress Cause Profound Toxic Effect on Microbiota of the Mice Intestinal Tract	plos one	3.234
Effective prophylaxis against rotavirus diarrhea using a combination of Lactobacillus rhamnosus GG and antibodies	bmc microbiology	2.729
Farming practices in Sweden related to feeding milk and colostrum from cows treated with antimicrobials to dairy calves	acta veterinaria scandinavica	1.377
Iron, copper, zinc, and manganese transport and regulation in pathogenic Enterobacteria: correlations between strains, site of infection and the relative importance of the different metal transport systems for virulence	frontiers in cellular and infection microbiology	3.719
Special Issue: Gut Microbial Communities in Health and Disease	gut microbes	NO IMPACT
Bacterial Diversity Assessment in Antarctic Terrestrial and Aquatic Microbial Mats: A Comparison between Bidirectional Pyrosequencing and Cultivation	plos one	3.234
Nutritional Modulation of Insulin Resistance	scientifica	NO IMPACT
Catabolic flexibility of mammalian-associated lactobacilli	microbial cell factories	4.221
Symbionts as Major Modulators of Insect Health: Lactic Acid Bacteria and Honeybees	plos one	3.234
Potential role of gastrointestinal microbiota composition in prostate cancer risk	infectious agents and cancer	2.358
Novel Developmental Analyses Identify Longitudinal Patterns of Early Gut Microbiota that Affect Infant Growth	plos computational biology	4.62
Probiotics for human health –new innovations and emerging trends	gut pathogens	2.281
Chitinase-like proteins promote IL-17-mediated neutrophilia in a trade-off between nematode killing and host damage	nature immunology	20.004
Composition of Microbial Oral Biofilms during Maturation in Young Healthy Adults	plos one	3.234
The Glycolytic Enzymes Activity in the Midgut of Diabrotica virgifera virgifera (Coleoptera: Chrysomelidae) adult and their Seasonal Changes	journal of insect science	1.025
Efficient Feature Selection and Multiclass Classification with Integrated Instance and Model Based Learning	evolutionary bioinformatics online	NO IMPACT
Secretory immunity with special reference to the oral cavity	journal of oral microbiology	NO IMPACT
Effect of green tea supplementation on the microbiological, antioxidant, and sensory properties of probiotic milks	dairy science & technology	1.087
Immune modulation of the brain-gut-microbe axis	frontiers in microbiology	3.989
Altered CD161bright CD8+ Mucosal Associated Invariant T (MAIT)-Like Cell Dynamics and Increased Differentiation States among Juvenile Type 1 Diabetics	plos one	3.234
Expression of the ATP-gated P2X7 Receptor on M Cells and Its Modulating Role in the Mucosal Immune Environment	immune network	NO IMPACT
Effect of Exclusive Enteral Nutrition on the Microbiota of Children With Newly Diagnosed Crohn's Disease	clinical and translational gastroenterology	NO IMPACT
Methanogenic Archaea and oral infections — ways to unravel the black box	journal of oral microbiology	NO IMPACT
Occurrence of Bifidobacteriaceae in human hypochlorhydria stomach	microbial ecology in health and disease	NO IMPACT
Quinolone resistance mutations in the faecal microbiota of Swedish travellers to India	bmc microbiology	2.729
Toxoplasma gondii Soluble Tachyzoite Antigen Triggers Protective Mechanisms against Fatal Intestinal Pathology in Oral Infection of C57BL/6 Mice	plos one	3.234
Hypoxia and Temperature Regulated Morphogenesis in Candida albicans	plos genetics	7.528
Complete genome sequence of Meiothermus silvanus type strain (VI-R2T)	standards in genomic sciences	NO IMPACT
Comparative Genomic and Functional Analysis of 100 Lactobacillus rhamnosus Strains and Their Comparison with Strain GG	plos genetics	7.528
Hosting Infection: Experimental Models to Assay Candida Virulence	international journal of microbiology	NO IMPACT
The Pomegranate: Effects on Bacteria and Viruses That Influence Human Health	evidence-based complementary and alternative medicine : ecam	NO IMPACT
Mouthguards: does the indigenous microbiome play a role in maintaining oral health?	frontiers in cellular and infection microbiology	3.719
Microbiome analysis – from technical advances to biological relevance	f1000prime reports	NO IMPACT
Staphylococcus aureus Colonization of the Mouse Gastrointestinal Tract Is Modulated by Wall Teichoic Acid, Capsule, and Surface Proteins	plos pathogens	7.562
Evidence of Bacteroides fragilis Protection from Bartonella henselae-Induced Damage	plos one	3.234
The Impact of Fusarium Mycotoxins on Human and Animal Host Susceptibility to Infectious Diseases	toxins	2.938
Ontogeny of Myeloid Cells	frontiers in immunology	NO IMPACT
Galacto‐oligosaccharides attenuate renal injury with microbiota modification	physiological reports	NO IMPACT
Structural genomics analysis of uncharacterized protein families overrepresented in human gut bacteria identifies a novel glycoside hydrolase	bmc bioinformatics	2.576
Dysbiotic Events in Gut Microbiota: Impact on Human Health	nutrients	3.27
Untargeted metabolomic analysis for the clinical screening of inborn errors of metabolism	journal of inherited metabolic disease	3.365
Outcomes and Risk Factors Associated with Clostridium difficile Diarrhea in Hospitalized Adult Patients	gastroenterology research and practice	1.749
How community ecology can improve our understanding of cholera dynamics	frontiers in microbiology	3.989
Virulent Shigella flexneri subverts the host innate immune response through manipulation of antimicrobial peptide gene expression	the journal of experimental medicine	NO IMPACT
Antimicrobial Human β-Defensins in the Colon and Their Role in Infectious and Non-Infectious Diseases	pathogens	NO IMPACT
Phylogenetic identification of bacterial MazF toxin protein motifs among probiotic strains and foodborne pathogens and potential implications of engineered probiotic intervention in food	cell & bioscience	NO IMPACT
Th17 Cytokines and the Gut Mucosal Barrier	journal of clinical immunology	3.184
The Role of Autophagy in Crohn’s Disease	cells	NO IMPACT
Hydroxypropylation of high-amylose maize starch changes digestion and
fermentation-dependent parameters in rats / Development of the gut microbiota in
southern Indian infants from birth to 6 months: a molecular analysis – ERRATUM	journal of nutritional science	NO IMPACT
High Incidence of Staphylococcus aureus and Norovirus Gastroenteritis in Infancy: A Single-Center, 1-Year Experience	pediatric gastroenterology, hepatology & nutrition	NO IMPACT
Intestinal Peyer’s patches prevent tumorigenesis in ApcMin/+ mice	journal of clinical biochemistry and nutrition	2.19
Manipulating the gut microbiota to maintain health and treat disease	microbial ecology in health and disease	NO IMPACT
Intrinsic Immunomodulatory Effects of Low-Digestible Carbohydrates Selectively Extend Their Anti-Inflammatory Prebiotic Potentials	biomed research international	1.579
Treatment of Relapsing Mild-to-Moderate Ulcerative Colitis With the Probiotic VSL#3 as Adjunctive to a Standard Pharmaceutical Treatment: A Double-Blind, Randomized, Placebo-Controlled Study	the american journal of gastroenterology	NO IMPACT
Natural history of chronic hepatitis B virus infection from infancy to adult life -the mechanism of inflammation triggering and long-term impacts	journal of biomedical science	2.763
An anti-inflammatory diet as treatment for inflammatory bowel disease: a case series report 	nutrition journal	2.597
Changes in the Bacterial Microbiota in Gut, Blood, and Lungs following Acute LPS Instillation into Mice Lungs	plos one	3.234
Multiple factors interact to produce responses resembling spectrum of human disease in Campylobacter jejuni infected C57BL/6 IL-10-/- mice	bmc microbiology	2.729
Netrin-1 guides inflammatory cell migration to control mucosal immune responses during intestinal inflammation	tissue barriers	NO IMPACT
Single gene locus changes perturb complex microbial communities as much as apex predator loss	nature communications	11.47
Transposases are the most abundant, most ubiquitous genes in nature	nucleic acids research	9.112
Molecular evolution of the three short PGRPs of the malaria vectors Anopheles gambiae and Anopheles arabiensis in East Africa	bmc evolutionary biology	3.368
16S rRNA gene pyrosequencing of reference and clinical samples and investigation of the temperature stability of microbiome profiles	microbiome	NO IMPACT
Chronic Endotoxemia in Subjects with Type-1 Diabetes Is Seen Much before the Onset of Microvascular Complications	plos one	3.234
Bacteria–phage coevolution as a driver of ecological and evolutionary processes in microbial communities	fems microbiology reviews	13.244
Measuring the microbiome: perspectives on advances in DNA-based techniques for exploring microbial life	briefings in bioinformatics	9.617
The Gut of Geographically Disparate Ciona intestinalis Harbors a Core Microbiota	plos one	3.234
Modulation of gut microbiota by berberine and metformin during the treatment of high-fat diet-induced obesity in rats	scientific reports	5.578
The Adaptation of Temperate Bacteriophages to Their Host Genomes	molecular biology and evolution	9.105
The Effect of Aloe Vera, Pomegranate Peel, Grape Seed Extract, Green Tea, and Sodium Ascorbate as Antioxidants on the Shear Bond Strength of Composite Resin to Home-bleached Enamel	journal of dentistry	2.749
Mycobacterium avium subsp. paratuberculosis as a trigger of type-1 diabetes: destination Sardinia, or beyond?	gut pathogens	2.281
Signaling in the phytomicrobiome: breadth and potential	frontiers in plant science	3.948
The Interaction among Microbiota, Immunity, and Genetic and Dietary Factors Is the Condicio Sine Qua Non Celiac Disease Can Develop	journal of immunology research	Not Available
Apoptosis in Hemocytes Induces a Shift in Effector Mechanisms in the Drosophila Immune System and Leads to a Pro-Inflammatory State	plos one	3.234
p38 MAPK Regulates Expression of Immune Response Genes and Contributes to Longevity in C. elegans	plos genetics	7.528
Perspective: a systems approach to diabetes research	frontiers in genetics	NO IMPACT
Innovative Thoughts on Treating Diabetes from the Perspective of Traditional Chinese Medicine	evidence-based complementary and alternative medicine : ecam	NO IMPACT
Metabonomics of human fecal extracts characterize ulcerative colitis, Crohn’s disease and healthy individuals	metabolomics	3.855
Metabolomic and high-throughput sequencing analysis—modern approach for the assessment of biodeterioration of materials from historic buildings	frontiers in microbiology	3.989
Modulation of the gut microbiota by nutrients with prebiotic properties: consequences for host health in the context of obesity and metabolic syndrome	microbial cell factories	4.221
Probiotics, Prebiotics and Immunomodulation of Gut Mucosal Defences: Homeostasis and Immunopathology	nutrients	3.27
Influence of Gut Microbes on the Brain-Gut Axis (Gut 2011;60:307-317) Bacterial infection causes stress-induced memory dysfunction in mice	journal of neurogastroenterology and motility	2.296
An analysis of microbiota-targeted therapies in patients with avian influenza virus subtype H7N9 infection	bmc infectious diseases	2.613
Pyrosequencing-Based Assessment of Bacterial Community Structure Along Different Management Types in German Forest and Grassland Soils	plos one	3.234
A Novel Regulatory T Cell Population in the Gut CD4CD8αα Lymphocytes, a Novel Human Regulatory T Cell Subset Induced by Colonic Bacteria and Deficient in Inflammatory Bowel Disease Patients	plos biology	9.343
Clostridium scindens: a human gut microbe with a high potential to convert glucocorticoids into androgens[S]	journal of lipid research	4.421
Evaluation of Bacteriophage Supplementation on Growth Performance, Blood Characteristics, Relative Organ Weight, Breast Muscle Characteristics and Excreta Microbial Shedding in Broilers	asian-australasian journal of animal sciences	0.541
Interleukin-18 Activates Skeletal Muscle AMPK and Reduces Weight Gain and Insulin Resistance in Mice	diabetes	8.095
An Environment-Sensitive Synthetic Microbial Ecosystem	plos one	3.234
Dendritic Cells in the Periphery Control Antigen-Specific Natural and Induced Regulatory T Cells	frontiers in immunology	NO IMPACT
Associations between diet, gut microbiota and markers of CRC risk	cancer & metabolism	NO IMPACT
Long-Term Alteration of Intestinal Microbiota in Patients with Ulcerative Colitis by Antibiotic Combination Therapy	plos one	3.234
The dormant blood microbiome in chronic, inflammatory diseases	fems microbiology reviews	13.244
Correction: Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Allelic Variants Relate to Shifts in Faecal Microbiota of Cystic Fibrosis Patients Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Allelic Variants Relate to Shifts in Faecal Microbiota of Cystic Fibrosis Patients	plos one	3.234
Treg Inducing Adjuvants for Therapeutic Vaccination Against Chronic Inflammatory Diseases	frontiers in immunology	NO IMPACT
Neonatal Mucosal Immune Stimulation by Microbial Superantigen Improves the Tolerogenic Capacity of CD103+ Dendritic Cells	plos one	3.234
The Complete Campylobacter jejuni Transcriptome during Colonization of a Natural Host Determined by RNAseq	plos one	3.234
Eosinophil-mediated signalling attenuates inflammatory responses in experimental colitis	gut	14.66
Draft Genomes, Phylogenetic Reconstruction, and Comparative Genomics of Two Novel Cohabiting Bacterial Symbionts Isolated from Frankliniella occidentalis	genome biology and evolution	4.229
Probiotics as a Novel Treatment for Non-Alcoholic Fatty Liver Disease; A Systematic Review on the Current Evidences	hepatitis monthly	1.932
Characterization of Fecal Microbiota across Seven Chinese Ethnic Groups by Quantitative Polymerase Chain Reaction	plos one	3.234
Different Dynamic Patterns of β-Lactams, Quinolones, Glycopeptides and Macrolides on Mouse Gut Microbial Diversity	plos one	3.234
Critical review: vegetables and fruit in the prevention of chronic diseases	european journal of nutrition	3.467
Functional assignment of metagenomic data: challenges and applications	briefings in bioinformatics	9.617
Oligonucleotide primers, probes and molecular methods for the environmental monitoring of methanogenic archaea	microbial biotechnology	3.081
Natural environments, ancestral diets, and microbial ecology: is there a modern “paleo-deficit disorder”? Part I	journal of physiological anthropology	1.268
TNF-α Producing Innate Lymphoid Cells (ILCs) Are Increased in Active Celiac Disease and Contribute to Promote Intestinal Atrophy in Mice	plos one	3.234
Medical therapy of stricturing Crohn’s disease: what the gut can learn from other organs - a systematic review	fibrogenesis & tissue repair	NO IMPACT
The Bergen COPD microbiome study (MicroCOPD): rationale, design, and initial experiences	european clinical respiratory journal	NO IMPACT
TIMP3 interplays with apelin to regulate cardiovascular metabolism in hypercholesterolemic mice	molecular metabolism	NO IMPACT
Persistent digestive disorders in the tropics: causative infectious pathogens and reference diagnostic tests	bmc infectious diseases	2.613
Reverse Engineering Cellular Networks with Information Theoretic Methods	cells	NO IMPACT
Relevant Aspects of Nutritional and Dietary Interventions in Non-Alcoholic Fatty Liver Disease	international journal of molecular sciences	2.862
The effects of spatial structure, frequency dependence and resistance evolution on the dynamics of toxin-mediated microbial invasions	evolutionary applications	3.896
Betaine and Trimethylamine-N-Oxide as Predictors of Cardiovascular Outcomes Show Different Patterns in Diabetes Mellitus: An Observational Study	plos one	3.234
RIM-DB: a taxonomic framework for community structure analysis of methanogenic archaea from the rumen and other intestinal environments	peerj	2.112
Description of the interaction between Candida albicans and macrophages by mixed and quantitative proteome analysis without isolation	amb express	NO IMPACT
Gata3 drives development of RORγt+ group 3 innate lymphoid cells	the journal of experimental medicine	NO IMPACT
Methanosarcina Play an Important Role in Anaerobic Co-Digestion of the Seaweed Ulva lactuca: Taxonomy and Predicted Metabolism of Functional Microbial Communities	plos one	3.234
The Use of Lactic Acid Bacteria as a Probiotic in Swine Diets	pathogens	NO IMPACT
A New Role for an Old Antimicrobial: Lysozyme c-1 Can Function to Protect Malaria Parasites in Anopheles Mosquitoes	plos one	3.234
Molecular diagnosis of bird-mediated pest consumption in tropical farmland	springerplus	NO IMPACT
Berberine protects human renal proximal tubular cells from hypoxia/reoxygenation injury via inhibiting endoplasmic reticulum and mitochondrial stress pathways	journal of translational medicine	3.93
Stool substitute transplant therapy for the eradication of Clostridium difficile infection: ‘RePOOPulating’ the gut	microbiome	NO IMPACT
Functional consequences of microbial shifts in the human gastrointestinal tract linked to antibiotic treatment and obesity	gut microbes	NO IMPACT
Rodent models to study the metabolic effects of shiftwork in humans	frontiers in pharmacology	3.802
Development of the Digestive System—Experimental Challenges and Approaches of Infant Lipid Digestion	food digestion	NO IMPACT
Synbiotics in Children with Cow's Milk Allergy: A Randomized Controlled Trial	iranian journal of pediatrics	0.522
Dysfunction of the intestinal microbiome in inflammatory bowel disease and treatment	genome biology	10.81
Effect of midgut proteolytic activity on susceptibility of lepidopteran larvae to Bacillus thuringiensis subsp. Kurstaki	frontiers in physiology	3.534
Fate Mapping of Dendritic Cells	frontiers in immunology	NO IMPACT
Prebiotic Effects of Wheat Arabinoxylan Related to the Increase in Bifidobacteria, Roseburia and Bacteroides/Prevotella in Diet-Induced Obese Mice	plos one	3.234
Association between Dietary Fiber Intake and Physical Performance in Older Adults: A Nationwide Study in Taiwan	plos one	3.234
Human colostrum oligosaccharides modulate major immunologic pathways of immature human intestine	mucosal immunology	7.374
Glycan cross-feeding activities between bifidobacteria under in vitro conditions	frontiers in microbiology	3.989
Probiotics in the Treatment of Chronic Rhinoconjunctivitis and Chronic Rhinosinusitis	journal of allergy	NO IMPACT
Microbiota in Healthy Skin and in Atopic Eczema	biomed research international	1.579
Negative association of acetate with visceral adipose tissue and insulin levels	diabetes, metabolic syndrome and obesity: targets and therapy	NO IMPACT
Interrelationship between type three secretion system and metabolism in pathogenic bacteria	frontiers in cellular and infection microbiology	3.719
Long-Term Exposure to Antibiotics Has Caused Accumulation of Resistance Determinants in the Gut Microbiota of Honeybees	mbio	6.786
Hospital-acquired Clostridium difficile-associated disease in the intensive care unit setting: epidemiology, clinical course and outcome	bmc infectious diseases	2.613
Cigarette Smoke Extract (CSE) Delays NOD2 Expression and Affects NOD2/RIPK2 Interactions in Intestinal Epithelial Cells	plos one	3.234
Non-contiguous finished genome sequence and description of Paenibacillus gorillae sp. nov.	standards in genomic sciences	NO IMPACT
Effects of Vendor and Genetic Background on the Composition of the Fecal Microbiota of Inbred Mice	plos one	3.234
Draft Genome Sequence of Lactobacillus crispatus EM-LC1, an Isolate with Antimicrobial Activity Cultured from an Elderly Subject	genome announcements	NO IMPACT
Response of Archaeal and Bacterial Soil Communities to Changes Associated with Outdoor Cattle Overwintering	plos one	3.234
G-CSF regulates hematopoietic stem cell activity, in part, through activation of toll-like receptor signaling	leukemia	10.431
Molecular mechanisms of incretin hormone secretion☆	current opinion in pharmacology	4.595
Development of the Human Infant Intestinal Microbiota Microbes Colonize a Baby's Gut with Distinction	plos biology	9.343
Genomic insights into early-onset obesity	genome medicine	5.338
Comprehensive Analysis of Gene Expression Profiles of the Beet Armyworm Spodoptera exigua Larvae Challenged with Bacillus thuringiensis Vip3Aa Toxin	plos one	3.234
Responses in gut microbiota and fat metabolism to a halogenated methane analogue in Sprague Dawley rats	microbial biotechnology	3.081
Apoptotic Cells Induce NF-κB and Inflammasome Negative Signaling	plos one	3.234
Normal values for pancreatic stone protein in different age groups	bmc anesthesiology	1.375
Cross-feeding by Bifidobacterium breve UCC2003 during co-cultivation with Bifidobacterium bifidum PRL2010 in a mucin-based medium	bmc microbiology	2.729
Characterization of Antimicrobial Peptides toward the Development of Novel Antibiotics	pharmaceuticals	NO IMPACT
Dairy intolerance syndrome in Iranian young adult	journal of research in medical sciences : the official journal of isfahan university of medical sciences	NO IMPACT
Microbial trophic interactions and mcrA gene expression in monitoring of anaerobic digesters	frontiers in microbiology	3.989
Alcohol-Induced Liver Injury Is Modulated by Nlrp3 and Nlrc4 Inflammasomes in Mice	mediators of inflammation	3.236
Phenotypic variation in Blastocystis sp. ST3	parasites & vectors	3.43
Saccharomyces boulardii Administration Changes Gut Microbiota and Reduces Hepatic Steatosis, Low-Grade Inflammation, and Fat Mass in Obese and Type 2 Diabetic db/db Mice	mbio	6.786
Gorilla gorilla gorilla gut: a potential reservoir of pathogenic bacteria as revealed using culturomics and molecular tools	scientific reports	5.578
The Influence and Role of Microbial Factors in Autoimmune Kidney Diseases: A Systematic Review	journal of immunology research	Not Available
The Heart and Medicine: Exploring the Interconnectedness of Cardiometabolic-related Concerns Through a Systems Biology Approach	global advances in health and medicine	NO IMPACT
Pathogenic Potential of Saccharomyces Strains Isolated from Dietary Supplements	plos one	3.234
The Use of Green Leaf Membranes to Promote Appetite Control, Suppress Hedonic Hunger and Loose Body Weight	plant foods for human nutrition (dordrecht, netherlands)	NO IMPACT
Consecutive Intake of Fermented Milk Containing Bifidobacterium breve Strain Yakult and Galacto-oligosaccharides Benefits Skin Condition in Healthy Adult Women	bioscience of microbiota, food and health	NO IMPACT
Protein Tyrosine Phosphatase Non-Receptor Type 22 Modulates NOD2-Induced Cytokine Release and Autophagy	plos one	3.234
Chromobacterium Csp_P Reduces Malaria and Dengue Infection in Vector Mosquitoes and Has Entomopathogenic and In Vitro Anti-pathogen Activities	plos pathogens	7.562
Proposal of a comprehensive definition of modified and other forms of mycotoxins including “masked” mycotoxins	mycotoxin research	NO IMPACT
Metabolic Signatures of Kidney Yang Deficiency Syndrome and Protective Effects of Two Herbal Extracts in Rats Using GC/TOF MS	evidence-based complementary and alternative medicine : ecam	NO IMPACT
A Cross-Taxon Analysis of Insect-Associated Bacterial Diversity	plos one	3.234
Holobionts: emerging strategy for interventions against infectious diseases, metabolic disorders & cancer	the indian journal of medical research	NO IMPACT
Impaired Cellular Immunity in the Murine Neural Crest Conditional Deletion of Endothelin Receptor-B Model of Hirschsprung’s Disease	plos one	3.234
The microbiome in non-alcoholic fatty liver disease: associations and implications	annals of gastroenterology : quarterly publication of the hellenic society of gastroenterology	NO IMPACT
Analysis of the Gut Microbiota in the Old Order Amish and Its Relation to the Metabolic Syndrome	plos one	3.234
DNA extraction protocols cause differences in 16S rRNA amplicon sequencing efficiency but not in community profile composition or structure	microbiologyopen	2.213
Rapid fucosylation of intestinal epithelium sustains host-commensal symbiosis in sickness	nature	41.456
New era for mucosal mast cells: their roles in inflammation, allergic immune responses and adjuvant development	experimental & molecular medicine	NO IMPACT
Regulation of the polymeric immunoglobulin receptor and IgA transport: New advances in environmental factors that stimulate pIgR expression and its role in mucosal immunity	mucosal immunology	7.374
Bacterial metabolites directly modulate farnesoid X receptor activity	nutrition & metabolism	3.258
ILSI Brazil International Workshop on Functional Foods: a narrative review of the scientific evidence in the area of carbohydrates, microbiome, and health	food & nutrition research	2.162
The serotonin transporter gene polymorphism (5-HTTLPR) and irritable bowel syndrome: a meta-analysis of 25 studies	bmc gastroenterology	2.365
Fecal Microbiota Characteristics of Patients with Colorectal Adenoma Detected by Screening: A Population-based Study	ebiomedicine	NO IMPACT
Unique Lamina Propria Stromal Cells Imprint the Functional Phenotype of Mucosal Dendritic Cells	mucosal immunology	7.374
Selecting Microbial Strains from Pine Tree Resin: Biotechnological Applications from a Terpene World	plos one	3.234
Visceral Pain and Gastrointestinal Microbiome	journal of neurogastroenterology and motility	2.296
Particulate matter air pollution causes oxidant-mediated increase in gut permeability in mice	particle and fibre toxicology	7.113
Role of Dendritic Cells in the Induction of Lymphocyte Tolerance	frontiers in immunology	NO IMPACT
Unusual genome complexity in Lactobacillus salivarius JCM1046	bmc genomics	3.986
